keyword,count,avgPlayers
simulator,32,13326
anime,16,10035
tycoon,13,5860
car,10,6296
brainrot,9,50206
christmas,8,10712
steal,7,61114
legends,7,19001
rng,7,8918
racing,7,5315
roleplay,7,2437
battlegrounds,6,30581
escape,6,11955
life,6,9660
winter,6,7702
brainrots,5,21209
don,5,13574
years,5,10238
build,5,9555
driving,5,7882
blade,5,7821
sale,5,3853
arena,5,3422
nights,4,181380
xmas,4,56527
horror,4,39014
jujutsu,4,34571
things,4,12220
pet,4,10812
survive,4,8992
speed,4,7394
fishing,4,6739
dragon,4,5814
basketball,4,5243
get,4,4827
supermarket,4,4059
legacy,4,2540
fight,4,1912
rpg,4,1069
rivals,3,88252
grow,3,25372
ball,3,16655
blue,3,10718
your,3,10457
fps,3,9998
restaurant,3,8107
zero,3,7612
war,3,6110
boss,3,6101
tank,3,4632
pets,3,4022
playground,3,3879
stand,3,3778
arise,3,2923
fruit,3,2884
big,3,1356
ninja,3,1321
fish,2,436673
blox,2,219111
garden,2,41777
fighting,2,26285
weekend,2,20141
duels,2,19679
dig,2,16640
trip,2,15495
murderers,2,14914
sheriffs,2,14914
hell,2,14911
facility,2,14827
break,2,14429
emergency,2,14251
boat,2,14200
quest,2,14149
evolution,2,13461
lucky,2,13028
bike,2,12752
animals,2,12722
disaster,2,12701
survival,2,12701
battles,2,12218
high,2,11870
die,2,11205
universe,2,11047
city,2,10729
heroes,2,10643
fnaf,2,10373
slap,2,10090
jump,2,10037
eternal,2,9961
craft,2,9807
advent,2,8708
sniper,2,8047
baby,2,7720
park,2,7639
mudding,2,7257
card,2,6803
boxing,2,6652
untitled,2,6413
deadly,2,6092
dungeon,2,6063
gym,2,5805
horse,2,5650
soul,2,5623
catch,2,5616
trading,2,5536
final,2,5271
five,2,5129
combat,2,4847
champions,2,4620
county,2,4606
midnight,2,4526
story,2,4500
obby,2,4203
trailers,2,4123
toilet,2,3974
school,2,3898
2026,2,3895
one,2,3408
family,2,3351
player,2,3273
case,2,3256
wars,2,3254
drifting,2,3158
sushi,2,3067
weapons,2,3055
flight,2,2985
magic,2,2903
pixel,2,2800
piece,2,2737
training,2,2623
warriors,2,2548
cultivation,2,2434
immortal,2,2434
military,2,2395
drive,2,2360
battle,2,2238
line,2,2186
eat,2,2169
gunfight,2,2169
santa,2,2163
sharkbite,2,2078
border,2,2059
side,2,1883
classic,2,1858
hatch,2,1842
incremental,2,1589
friend,2,1523
ride,2,1468
gun,2,1389
saber,2,1294
wizard,2,1220
zombie,2,1074
farm,2,1032
parkour,2,973
point,2,642
dinosaur,2,628
navy,2,594
ship,2,329